lng,lat,count
11865650,3621850,1
12620850,4775450,1
11577650,3580150,2
12044950,3734550,1
11584250,3551250,1
11597050,3563050,2
12134750,4042650,1
11578050,3569450,1
11584650,3569150,1
11565450,3566650,1
11591050,3559250,2
11584750,3565750,2
11699950,3622750,1
11616750,3568650,1
11572050,3581150,1
11584850,3576250,1
12852050,3294050,1
11501650,3503850,1
11623350,3593150,1
11616950,3593650,1
11585150,3560150,1
11604350,3556850,39
11572450,3555350,1
11598050,3553650,1
11591650,3569850,1
11604450,3556550,85
11591750,3550550,1
11822250,3843550,1
11604750,3559750,1
11732750,3598750,1
11783950,3796850,1
9742450,5430350,1
11604950,3559450,4
11585850,3566850,2
11605050,3548250,6
11586050,3564550,16
11586150,3572250,1
12693350,2623750,1
11599050,3556150,12
11528650,3410750,1
11746250,3633150,1
11797450,3688550,2
11599150,3572850,1
11733650,3638550,1
11605750,3549650,1
11599450,3555650,5
11612250,3558450,1
11605850,3556050,61
11599550,3552150,3
11881150,3315750,1
11606050,3548550,1
11586950,3566150,3
11798150,3685650,1
13090950,4723350,1
11651050,3670650,1
11542250,3564450,1
11875050,3541850,1
11587250,3561250,3
11587250,3551150,1
11606550,3549850,2
11581050,3571050,2
11606650,3555450,20
11606650,3556650,52
11574750,3570450,1
11600450,3575150,1
11568650,3597750,1
11434350,2859450,1
11575250,3555850,1
11581650,3564050,1
11607350,3550250,1
11850550,3422150,2
11581850,3560350,2
11607450,3554250,35
11549950,3904650,1
11575550,3571250,1
11575550,3588950,1
11972350,3056450,1
11421950,2854750,1
11543550,3562850,1
11588450,3561450,1
12766050,4593150,2
13009250,4644150,1
11594850,3563250,3
13079650,4689550,1
11582150,3568450,1
11588650,3573450,1
11588650,3561450,1
11601450,3554550,1
11601450,3556750,5
11607850,3556250,1
11300650,3090950,1
11607950,3558750,1
12785550,3984950,1
11576150,3565950,2
11601750,3555750,3
11627350,3591950,1
11531350,3449150,1
11557050,3571650,1
11569850,3577950,1
11582650,3554750,1
11589150,3568650,1
11493150,3464450,1
11595550,3552850,1
12011650,4160250,1
11595650,3560450,1
13515750,3629750,1
11602250,3545750,1
11557450,3569650,2
11583050,3547950,2
11602350,3557050,3
11608750,3554050,28
11608850,3554750,25
12959350,4833150,1
11583350,3585550,1
11596150,3572250,1
11608950,3571150,1
11577050,3569250,2
11589950,3572450,1
11602850,3555250,1
11609250,3565750,5
11602950,3549850,3
11596550,3555850,3
