from,to,count
海南省直辖县级行政单位,海口市,104877
资阳市,成都市,83245
咸阳市,西安市,77791
曲靖市,昆明市,71484
保定市,北京市,70093
渭南市,西安市,69363
南充市,成都市,55970
六安市,合肥市,54707
周口市,郑州市,53929
孝感市,武汉市,53692
毕节地区,贵阳市,53491
重庆市,成都市,52831
黄冈市,武汉市,52032
益阳市,长沙市,50161
广安市,重庆市,47520
眉山市,成都市,46663
廊坊市,北京市,44619
梅州市,深圳市,43886
开封市,郑州市,42725
德阳市,成都市,42598
岳阳市,长沙市,42287
内江市,成都市,41666
张家口市,北京市,41322
绥化市,哈尔滨市,39435
清远市,广州市,38922
邢台市,石家庄市,38512
盐城市,苏州市,38277
绵阳市,成都市,37785
海南省直辖县级行政单位,三亚市,36980
宝鸡市,西安市,35886
西安市,咸阳市,35397
苏州市,上海市,34813
吕梁市,太原市,34728
遂宁市,成都市,34568
泉州市,厦门市,34512
遵义市,贵阳市,34140
漳州市,厦门市,34132
惠州市,深圳市,33988
达州市,重庆市,33864
乌兰察布市,呼和浩特市,33641
四平市,长春市,32797
南通市,上海市,32723
湘潭市,长沙市,31911
佛山市,广州市,31863
德州市,济南市,31780
重庆市,恩施土家族苗族自治州,31609
梅州市,广州市,31473
乐山市,成都市,31461
新乡市,郑州市,31292
安庆市,合肥市,31202
商丘市,郑州市,31062
南阳市,郑州市,30823
湛江市,广州市,30201
常德市,长沙市,30181
天津市,北京市,29960
承德市,北京市,29899
红河哈尼族彝族自治州,昆明市,29724
揭阳市,深圳市,29616
保定市,石家庄市,29509
南充市,重庆市,29450
广州市,佛山市,29447
商洛市,西安市,29427
忻州市,太原市,29329
娄底市,长沙市,29277
邵阳市,长沙市,29209
铁岭市,沈阳市,29202
崇左市,南宁市,28480
许昌市,郑州市,28210
潍坊市,青岛市,28171
巢湖市,合肥市,28083
河源市,深圳市,27899
肇庆市,佛山市,27819
驻马店市,郑州市,27692
河源市,惠州市,27650
海口市,海南省直辖县级行政单位,27641
洛阳市,郑州市,27267
晋中市,太原市,27092
达州市,成都市,26945
昭通市,昆明市,26649
成都市,重庆市,26578
楚雄彝族自治州,昆明市,25970
宜宾市,成都市,25960
玉林市,南宁市,25785
沧州市,天津市,25750
茂名市,广州市,25704
盐城市,上海市,25344
宜春市,南昌市,25307
韶关市,广州市,25296
泰安市,济南市,25246
来宾市,柳州市,25165
荆州市,武汉市,24915
西安市,渭南市,24857
茂名市,深圳市,24789
松原市,长春市,24718
湖北省直辖县级行政单位,武汉市,24511
烟台市,青岛市,23779
巴中市,成都市,23339
吉林市,长春市,23316
株洲市,长沙市,23223
平顶山市,郑州市,23154
邯郸市,北京市,23118
龙岩市,厦门市,23084
河池市,南宁市,23031
宁德市,福州市,22869
盐城市,无锡市,22675
自贡市,成都市,22571
汕尾市,深圳市,22236
昌吉回族自治州,乌鲁木齐市,22182
肇庆市,广州市,21747
绍兴市,杭州市,21676
菏泽市,济南市,21537
金华市,杭州市,21480
临沂市,青岛市,21366
黔南布依族苗族自治州,贵阳市,21342
沧州市,北京市,21207
清远市,佛山市,21143
三亚市,海南省直辖县级行政单位,21110
上海市,苏州市,20987
大理白族自治州,昆明市,20921
北京市,廊坊市,20877
广元市,成都市,20846
衡阳市,长沙市,20713
石家庄市,北京市,20532
济宁市,济南市,20433
成都市,资阳市,20225
安阳市,郑州市,20166
成都市,德阳市,20033
东莞市,深圳市,19822
百色市,南宁市,19808
淮安市,南京市,19804
聊城市,济南市,19739
重庆市,遵义市,19736
邵阳市,永州市,19540
玉溪市,昆明市,19524
阜阳市,合肥市,19444
遵义市,重庆市,19195
揭阳市,广州市,19173
凉山彝族自治州,成都市,18847
衢州市,杭州市,18785
淮安市,苏州市,18682
邯郸市,石家庄市,18617
唐山市,北京市,18534
茂名市,东莞市,18478
泸州市,重庆市,18336
吴忠市,银川市,18302
北京市,天津市,18062
南平市,福州市,17952
焦作市,郑州市,17927
绥化市,大庆市,17884
湛江市,深圳市,17733
咸宁市,武汉市,17646
揭阳市,汕头市,17610
海东地区,西宁市,17568
宿州市,徐州市,17430
昆明市,曲靖市,17303
邢台市,北京市,17115
六安市,上海市,17110
钦州市,南宁市,17076
雅安市,成都市,17068
滁州市,南京市,16921
衡水市,北京市,16907
广州市,深圳市,16898
衡水市,石家庄市,16798
盐城市,泰州市,16568
锦州市,沈阳市,16479
深圳市,东莞市,16392
廊坊市,天津市,16391
滁州市,合肥市,16338
惠州市,广州市,16336
北京市,保定市,16279
资阳市,重庆市,16167
吉安市,赣州市,16052
成都市,眉山市,16002
江门市,广州市,15836
唐山市,天津市,15787
南通市,苏州市,15740
贵港市,南宁市,15729
杭州市,上海市,15667
郑州市,开封市,15609
湛江市,茂名市,15563
定西市,兰州市,15470
武汉市,孝感市,15466
内江市,重庆市,15451
安顺市,贵阳市,15379
白银市,兰州市,15294
泸州市,成都市,15211
广安市,成都市,15086
信阳市,郑州市,14995
太原市,晋中市,14909
深圳市,惠州市,14826
盐城市,南京市,14814
梅州市,惠州市,14812
重庆市,广安市,14811
重庆市,达州市,14752
襄樊市,武汉市,14585
哈尔滨市,绥化市,14532
铜仁地区,贵阳市,14502
徐州市,苏州市,14489
合肥市,六安市,14455
毕节地区,六盘水市,14447
徐州市,宿迁市,14442
台州市,宁波市,14437
荆门市,武汉市,14359
宜宾市,重庆市,14340
潮州市,汕头市,14338
东莞市,广州市,14331
丽江市,大理白族自治州,14306
梅州市,东莞市,14303
九江市,南昌市,14263
宿迁市,淮安市,14245
朝阳市,沈阳市,14198
抚顺市,沈阳市,14171
惠州市,东莞市,14168
三亚市,海口市,14111
扬州市,南京市,14013
衡阳市,郴州市,13969
长春市,吉林市,13913
衡阳市,广州市,13872
日照市,青岛市,13828
盐城市,南通市,13816
石嘴山市,银川市,13702
茂名市,湛江市,13684
广州市,清远市,13655
德州市,天津市,13650
东莞市,惠州市,13633
淮南市,合肥市,13608
呼和浩特市,乌兰察布市,13562
永州市,清远市,13557
黄石市,武汉市,13528
上饶市,南昌市,13527
宿迁市,苏州市,13459
云浮市,广州市,13433
石家庄市,保定市,13372
遂宁市,重庆市,13364
齐齐哈尔市,哈尔滨市,13342
成都市,乐山市,13324
