geometry,count
"{""type"":""Polygon"",""coordinates"":[[[116.364767,39.883374],[116.366047,39.883402],[116.36681,39.883378],[116.3673,39.883395],[116.367295,39.882551],[116.366393,39.882523],[116.366011,39.882516],[116.364847,39.882468],[116.364416,39.882474],[116.364129,39.882436],[116.364205,39.882665],[116.364776,39.882689]]]}",46
"{""type"":""Polygon"",""coordinates"":[[[116.45049,39.934408],[116.4519,39.934335],[116.451878,39.933958],[116.4519,39.933689],[116.451959,39.933592],[116.452219,39.933298],[116.452686,39.932983],[116.452691,39.932734],[116.450485,39.932752]]]}",9
"{""type"":""Polygon"",""coordinates"":[[[116.417506,39.866253],[116.417852,39.866264],[116.418404,39.866267],[116.418782,39.866277],[116.418836,39.866326],[116.41897,39.866333],[116.41928,39.866322],[116.419617,39.866326],[116.420138,39.866326],[116.420363,39.866326],[116.420426,39.866326],[116.420457,39.865495],[116.42048,39.865035],[116.420511,39.864574],[116.42052,39.864446],[116.42012,39.864432],[116.419572,39.864429],[116.419325,39.864446],[116.418898,39.864394],[116.418458,39.864367],[116.418072,39.86437],[116.418099,39.864585],[116.418328,39.864588],[116.418333,39.864976],[116.418324,39.865312],[116.417964,39.865312],[116.417641,39.865312],[116.41756,39.865312],[116.417547,39.865315],[116.417515,39.865872],[116.417488,39.866201]]]}",97
"{""type"":""Polygon"",""coordinates"":[[[116.416473,39.939573],[116.416486,39.939189],[116.417003,39.939199],[116.417537,39.939199],[116.418076,39.939192],[116.418305,39.939192],[116.418323,39.939559],[116.418296,39.939604]]]}",21
"{""type"":""Polygon"",""coordinates"":[[[116.338437,39.8948],[116.338882,39.894789],[116.339358,39.894793],[116.33991,39.894779],[116.340162,39.894779],[116.340544,39.894779],[116.341006,39.894765],[116.341056,39.894748],[116.341056,39.894395],[116.341024,39.894018],[116.340229,39.894049],[116.339708,39.894059],[116.339416,39.894053],[116.339371,39.893873],[116.338837,39.893841],[116.338455,39.893859],[116.33846,39.894315]]]}",52
"{""type"":""Polygon"",""coordinates"":[[[116.29588,39.852284],[116.296464,39.852488],[116.296841,39.851914],[116.297941,39.852308],[116.297636,39.852893],[116.298314,39.853132],[116.299545,39.851111],[116.299868,39.850591],[116.29756,39.849802],[116.297353,39.849726],[116.297353,39.849726]]]}",19
"{""type"":""Polygon"",""coordinates"":[[[116.4743,39.900851],[116.47425,39.89918],[116.475899,39.899194],[116.477417,39.899173],[116.479146,39.899194],[116.479303,39.900633],[116.479303,39.901501],[116.47876,39.901418],[116.476837,39.900892],[116.475854,39.900875]]]}",48
"{""type"":""Polygon"",""coordinates"":[[[116.443827,39.986843],[116.44318,39.986933],[116.441797,39.986815],[116.442012,39.985198],[116.442982,39.985191],[116.443351,39.985896]]]}",9
"{""type"":""Polygon"",""coordinates"":[[[116.239568,39.853243],[116.239118,39.853087],[116.237672,39.853004],[116.237614,39.851515],[116.237618,39.851398],[116.237762,39.850359],[116.240134,39.851498],[116.240129,39.851481]]]}",89
"{""type"":""Polygon"",""coordinates"":[[[116.455519,39.97033],[116.454611,39.969535],[116.457459,39.967572],[116.457643,39.967448],[116.458501,39.968205],[116.456749,39.969449],[116.455945,39.970036]]]}",61
"{""type"":""Polygon"",""coordinates"":[[[116.649943,39.91451],[116.650086,39.913639],[116.65226,39.913943],[116.651847,39.914835]]]}",87
"{""type"":""Polygon"",""coordinates"":[[[116.264102,39.935362],[116.264075,39.934594],[116.264376,39.934553],[116.264363,39.933765],[116.26633,39.93381],[116.266335,39.935331]]]}",12
"{""type"":""Polygon"",""coordinates"":[[[116.437146,40.075846],[116.439612,40.075294],[116.439504,40.075425],[116.439446,40.075829],[116.439243,40.076277],[116.439127,40.076491],[116.438695,40.076919],[116.438561,40.076971]]]}",85
"{""type"":""Polygon"",""coordinates"":[[[116.391711,39.903279],[116.392475,39.903289],[116.392497,39.903476],[116.393041,39.903473],[116.393036,39.902964],[116.392493,39.902954],[116.392026,39.90294],[116.391689,39.902923],[116.391554,39.902926],[116.391599,39.903244]]]}",18
"{""type"":""Polygon"",""coordinates"":[[[116.208119,39.923678],[116.208128,39.92271],[116.211689,39.922579],[116.211631,39.923122],[116.210751,39.923108],[116.210715,39.923357]]]}",19
"{""type"":""Polygon"",""coordinates"":[[[116.460886,39.954761],[116.462049,39.954671],[116.462036,39.954104],[116.460778,39.953962],[116.460832,39.954671]]]}",55
"{""type"":""Polygon"",""coordinates"":[[[116.269277,39.867228],[116.269731,39.865649],[116.271779,39.86594],[116.271415,39.867633]]]}",98
"{""type"":""Polygon"",""coordinates"":[[[116.230176,40.231793],[116.230037,40.23108],[116.231231,40.230925],[116.231299,40.229803],[116.233122,40.229886],[116.233473,40.229892],[116.233329,40.232006],[116.233262,40.232812],[116.231905,40.232795],[116.231878,40.232206],[116.231865,40.232189],[116.231101,40.232161],[116.231043,40.231813]]]}",53
"{""type"":""Polygon"",""coordinates"":[[[116.48305,39.80307],[116.48499,39.803818],[116.485475,39.802973],[116.483562,39.802252]]]}",98
"{""type"":""Polygon"",""coordinates"":[[[116.321507,40.036827],[116.321767,40.036386],[116.321561,40.036241],[116.321938,40.03546],[116.32395,40.035771],[116.323321,40.037891],[116.321911,40.037622],[116.321956,40.037228]]]}",58
"{""type"":""Polygon"",""coordinates"":[[[116.387193,39.986841],[116.388738,39.987083],[116.388765,39.986544],[116.388298,39.986433],[116.388253,39.986364],[116.387956,39.986274],[116.387777,39.986053],[116.38748,39.98597]]]}",85
"{""type"":""Polygon"",""coordinates"":[[[116.274513,39.904309],[116.274531,39.903534],[116.275335,39.903551],[116.275524,39.903541],[116.275717,39.903568],[116.275847,39.903586],[116.276184,39.903672],[116.276885,39.903911],[116.277698,39.90424],[116.277545,39.90472],[116.276907,39.904644],[116.276804,39.904388],[116.276018,39.904253],[116.275771,39.904406]]]}",79
"{""type"":""Polygon"",""coordinates"":[[[116.351963,39.793025],[116.351829,39.791923],[116.352453,39.791857],[116.352628,39.792987]]]}",6
"{""type"":""Polygon"",""coordinates"":[[[116.268193,40.249276],[116.267443,40.249276],[116.266078,40.248781],[116.264375,40.248381],[116.264546,40.247662],[116.262633,40.247197],[116.262691,40.246712],[116.26133,40.245418],[116.260921,40.245036],[116.260832,40.24378],[116.260014,40.242454],[116.260468,40.242251],[116.26076,40.242571],[116.261999,40.242251],[116.26222,40.242523],[116.26279,40.242985],[116.263253,40.243401],[116.263634,40.243749],[116.264093,40.243962],[116.264717,40.244248],[116.265674,40.244661],[116.266635,40.245008],[116.266846,40.245088],[116.267003,40.245167],[116.267524,40.245322],[116.267834,40.245452],[116.268032,40.24558],[116.266976,40.246795],[116.269271,40.248275]]]}",36
"{""type"":""Polygon"",""coordinates"":[[[116.317866,39.692148],[116.317884,39.6906],[116.321469,39.690603],[116.321487,39.692151]]]}",53
"{""type"":""Polygon"",""coordinates"":[[[116.412238,40.061738],[116.411627,40.062049],[116.411681,40.062497],[116.412085,40.06249],[116.412409,40.062573],[116.412409,40.062808],[116.412454,40.062904],[116.412822,40.062987],[116.413882,40.063036],[116.413936,40.063105],[116.414825,40.063174],[116.414502,40.063526],[116.414789,40.063719],[116.415544,40.063615],[116.41566,40.062387],[116.414906,40.062352],[116.41505,40.062187],[116.414996,40.062007],[116.414636,40.061966],[116.414088,40.062028],[116.413837,40.062152],[116.413711,40.062111],[116.413388,40.061731],[116.412642,40.0616],[116.41222,40.061738]]]}",78
"{""type"":""Polygon"",""coordinates"":[[[116.301575,39.915239],[116.301593,39.914384],[116.302685,39.914416],[116.302685,39.915235]]]}",41
"{""type"":""Polygon"",""coordinates"":[[[116.403381,39.851584],[116.403448,39.850747],[116.405627,39.850805],[116.40577,39.851086],[116.405865,39.851238],[116.405869,39.851647]]]}",11
"{""type"":""Polygon"",""coordinates"":[[[116.127299,39.739226],[116.127492,39.736739],[116.129082,39.737828],[116.130007,39.738494],[116.130722,39.738494],[116.131876,39.739434],[116.131876,39.739434]]]}",12
"{""type"":""Polygon"",""coordinates"":[[[116.453658,39.963392],[116.454556,39.963458],[116.454552,39.96316],[116.455495,39.963167],[116.455598,39.961992],[116.453865,39.96193],[116.452805,39.962649]]]}",97
"{""type"":""Polygon"",""coordinates"":[[[116.491735,39.921223],[116.491753,39.920621],[116.492579,39.920601],[116.492435,39.921244]]]}",81
"{""type"":""Polygon"",""coordinates"":[[[116.474692,40.008979],[116.476246,40.009024],[116.476277,40.007559],[116.474678,40.007497]]]}",41
"{""type"":""Polygon"",""coordinates"":[[[117.12398,40.170443],[117.123926,40.170157],[117.123769,40.169823],[117.12292,40.169475],[117.122727,40.169302],[117.122601,40.169102],[117.122606,40.168592],[117.123598,40.168592],[117.124937,40.168651],[117.124852,40.17057],[117.123998,40.170557]]]}",80
"{""type"":""Polygon"",""coordinates"":[[[116.219958,39.987659],[116.219765,39.986419],[116.219455,39.986004],[116.216185,39.98626],[116.216163,39.986557],[116.215368,39.986765],[116.215273,39.985438],[116.215193,39.984412],[116.219648,39.984429],[116.222366,39.984439],[116.225721,39.984429],[116.225873,39.985683],[116.226008,39.987418],[116.225034,39.987608]]]}",45
"{""type"":""Polygon"",""coordinates"":[[[116.360284,39.944472],[116.360765,39.944523],[116.361254,39.944534],[116.361412,39.944548],[116.361295,39.94405],[116.361335,39.943676],[116.361286,39.943503],[116.361052,39.943476],[116.360742,39.943472],[116.360401,39.943438],[116.360248,39.943427],[116.360226,39.944015],[116.360221,39.944375],[116.360226,39.944458]]]}",49
"{""type"":""Polygon"",""coordinates"":[[[116.361394,39.935438],[116.361829,39.935431],[116.361856,39.935438],[116.361847,39.935939],[116.36218,39.935939],[116.362175,39.934681],[116.36218,39.934075],[116.361587,39.934079],[116.361394,39.934068]]]}",46
"{""type"":""Polygon"",""coordinates"":[[[116.379962,39.933556],[116.380245,39.93357],[116.380559,39.933587],[116.380577,39.933113],[116.380146,39.933092],[116.379957,39.933096]]]}",95
"{""type"":""Polygon"",""coordinates"":[[[116.41674,40.005118],[116.419134,40.005111],[116.419161,40.004299],[116.419111,40.004123],[116.418721,40.003626],[116.418613,40.00346],[116.418572,40.003239],[116.418568,40.003073],[116.418554,40.002406],[116.417342,40.002468],[116.417315,40.003619],[116.41692,40.004075],[116.416812,40.004272],[116.416767,40.004417]]]}",73
"{""type"":""Polygon"",""coordinates"":[[[116.32633,40.155266],[116.325544,40.153791],[116.325557,40.153618],[116.327116,40.153573],[116.327839,40.154807]]]}",65
"{""type"":""Polygon"",""coordinates"":[[[116.439407,39.861357],[116.439829,39.859408],[116.441392,39.859377],[116.441392,39.860066],[116.441567,39.86009],[116.441549,39.860464],[116.441459,39.860516],[116.441423,39.86133]]]}",99
"{""type"":""Polygon"",""coordinates"":[[[116.507721,39.966329],[116.508385,39.966561],[116.508817,39.966578],[116.509787,39.966595],[116.511431,39.966661],[116.512872,39.96504],[116.507909,39.964933]]]}",37
"{""type"":""Polygon"",""coordinates"":[[[116.949165,40.151905],[116.949116,40.149717],[116.950351,40.149703],[116.950414,40.150523],[116.950935,40.150523],[116.951025,40.151926]]]}",90
"{""type"":""Polygon"",""coordinates"":[[[116.119736,40.112028],[116.120163,40.110376],[116.121694,40.110552],[116.121353,40.112325]]]}",44
"{""type"":""Polygon"",""coordinates"":[[[116.668786,40.207917],[116.668857,40.20428],[116.674247,40.204183],[116.674903,40.207834]]]}",36
"{""type"":""Polygon"",""coordinates"":[[[116.316908,39.933084],[116.316912,39.931995],[116.316908,39.93197],[116.317128,39.93196],[116.31755,39.931946],[116.31813,39.931932],[116.318678,39.931908],[116.318916,39.931898],[116.318866,39.932921],[116.318862,39.933091]]]}",72
"{""type"":""Polygon"",""coordinates"":[[[116.528788,39.800991],[116.529426,39.800267],[116.52948,39.800225],[116.529556,39.800215],[116.530297,39.800613],[116.529704,39.801413]]]}",42
"{""type"":""Polygon"",""coordinates"":[[[116.334928,39.971463],[116.335144,39.970257],[116.332292,39.970094],[116.332143,39.970467],[116.331717,39.97074],[116.331515,39.970789],[116.331366,39.971062],[116.33133,39.971207],[116.33129,39.971414]]]}",59
"{""type"":""Polygon"",""coordinates"":[[[116.334943,39.889157],[116.335275,39.88915],[116.335774,39.889143],[116.336286,39.889139],[116.336681,39.889132],[116.337045,39.889125],[116.337162,39.889119],[116.337189,39.889115],[116.337261,39.889056],[116.337337,39.888959],[116.3374,39.888831],[116.33744,39.888333],[116.337521,39.887804],[116.337562,39.887527],[116.337548,39.88743],[116.337503,39.887399],[116.33744,39.887368],[116.337342,39.887344],[116.33713,39.887333],[116.336726,39.887326],[116.336205,39.887326],[116.335882,39.887333],[116.335469,39.887337],[116.335204,39.887347],[116.335046,39.887354],[116.335028,39.88734]]]}",59
"{""type"":""Polygon"",""coordinates"":[[[116.344985,39.9213],[116.345219,39.921338],[116.345479,39.921449],[116.345798,39.921583],[116.345942,39.921632],[116.345893,39.921148],[116.345875,39.920546],[116.345825,39.919975],[116.345807,39.919705],[116.34547,39.919702],[116.345169,39.919712],[116.344963,39.919702],[116.344985,39.920179],[116.345008,39.920864],[116.345026,39.921051]]]}",66
"{""type"":""Polygon"",""coordinates"":[[[116.142468,39.756078],[116.142607,39.755777],[116.143218,39.75594],[116.143402,39.755433],[116.142728,39.754827],[116.143874,39.754893],[116.143923,39.754057],[116.148222,39.754206],[116.148199,39.756824],[116.148163,39.757961],[116.143726,39.75665],[116.143232,39.756536]]]}",84
"{""type"":""Polygon"",""coordinates"":[[[116.306923,39.970162],[116.30893,39.970726],[116.308778,39.971769],[116.308706,39.97226],[116.308701,39.972416],[116.308553,39.97319],[116.306164,39.97328],[116.30624,39.972948]]]}",91
"{""type"":""Polygon"",""coordinates"":[[[116.579918,39.92959],[116.581144,39.929604],[116.581113,39.928241],[116.579909,39.928259],[116.579905,39.928881]]]}",58
