lng,lat,time,count
12959650,4826550,20151223000000 ,3
12959850,4827350,20151223000000 ,45
12959750,4826850,20151223000000 ,30
12959950,4827650,20151223000000 ,19
12959950,4827850,20151223000000 ,5
12960250,4827550,20151223000000 ,16
12960150,4826650,20151223000000 ,13
12959950,4826850,20151223000000 ,20
12959750,4827250,20151223000000 ,15
12960350,4826750,20151223000000 ,2
12959850,4827450,20151223000000 ,16
12960050,4827650,20151223000000 ,13
12959450,4827450,20151223000000 ,2
12960350,4826850,20151223000000 ,9
12959250,4827150,20151223000000 ,17
12959550,4827750,20151223000000 ,24
12959650,4827750,20151223000000 ,19
12959550,4826850,20151223000000 ,39
12959850,4827150,20151223000000 ,4
12959550,4826550,20151223000000 ,1
12960350,4827350,20151223000000 ,44
12959850,4827250,20151223000000 ,13
12960050,4827450,20151223000000 ,1
12959250,4827550,20151223000000 ,6
12959350,4827450,20151223000000 ,9
12959750,4826550,20151223000000 ,6
12960150,4827350,20151223000000 ,26
12960450,4827150,20151223000000 ,38
12959650,4826850,20151223000000 ,19
12959950,4827450,20151223000000 ,3
12959950,4827750,20151223000000 ,8
12960050,4826950,20151223000000 ,33
12960450,4827250,20151223000000 ,35
12960250,4826650,20151223000000 ,9
12959450,4827350,20151223000000 ,26
12959450,4826750,20151223000000 ,31
12959550,4827350,20151223000000 ,11
12960350,4827050,20151223000000 ,42
12959750,4827150,20151223000000 ,7
12959850,4826750,20151223000000 ,12
12960150,4827450,20151223000000 ,12
12959250,4827250,20151223000000 ,7
12960050,4826550,20151223000000 ,2
12960250,4827450,20151223000000 ,26
12959150,4827050,20151223000000 ,10
12959750,4827350,20151223000000 ,34
12959350,4827550,20151223000000 ,29
12959850,4826850,20151223000000 ,18
12959650,4826650,20151223000000 ,21
12959650,4826950,20151223000000 ,24
12960050,4826850,20151223000000 ,15
12960250,4826950,20151223000000 ,47
12959150,4826950,20151223000000 ,9
12959650,4827350,20151223000000 ,22
12959450,4826650,20151223000000 ,7
12959350,4826850,20151223000000 ,21
12960450,4827450,20151223000000 ,8
12959650,4827250,20151223000000 ,10
12960250,4827350,20151223000000 ,38
12959450,4827050,20151223000000 ,27
12959850,4827050,20151223000000 ,7
12960250,4827150,20151223000000 ,45
12959250,4827050,20151223000000 ,28
12959650,4827150,20151223000000 ,8
12960050,4827750,20151223000000 ,16
12959150,4827150,20151223000000 ,4
12959250,4826950,20151223000000 ,9
12959450,4826850,20151223000000 ,33
12959550,4827450,20151223000000 ,4
12959750,4826650,20151223000000 ,6
12959750,4827650,20151223000000 ,77
12959950,4826650,20151223000000 ,4
12959250,4826850,20151223000000 ,9
12960350,4827150,20151223000000 ,59
12960450,4826950,20151223000000 ,11
12959750,4827550,20151223000000 ,14
12960250,4827250,20151223000000 ,29
12959250,4827450,20151223000000 ,11
12959350,4827350,20151223000000 ,37
12959450,4826950,20151223000000 ,42
12959950,4826750,20151223000000 ,29
12959950,4827350,20151223000000 ,33
12959250,4827350,20151223000000 ,35
12959750,4827050,20151223000000 ,3
12960250,4826750,20151223000000 ,20
12959350,4827150,20151223000000 ,9
12959150,4827350,20151223000000 ,10
12959350,4827650,20151223000000 ,6
12959950,4827050,20151223000000 ,9
12959850,4827850,20151223000000 ,13
12959350,4826950,20151223000000 ,49
12959650,4827050,20151223000000 ,13
12960350,4827450,20151223000000 ,25
