lng,lat
13405809,4315349
13399521,4293462
13400284,4285375
13401929,4287113
13400502,4286572
13512603,3625675
13403014,4291734
13406249,4300713
13414847,4318364
13404330,4285330
13404228,4286679
13405027,4285596
13080853,4105424
13407310,4300103
12730870,3557917
13396649,4285728
13396094,4287404
13399994,4285917
13393584,4285335
13399534,4289306
13406829,4297242
13400718,4287721
13395577,4287491
13404899,4295872
13399525,4290931
13399303,4288505
13402782,4285193
13398215,4288941
13410415,4289120
13404859,4287340
13400080,4284829
13403314,4292197
13399972,4286345
13402607,4316114
13402251,4287552
13410655,4288484
13404231,4313383
13402706,4284691
13397731,4288239
13413482,4290206
13401576,4287578
13401323,4285247
13404702,4293977
13403747,4300426
13399899,4286020
14719273,5803693
13401082,4286680
12719674,3563204
13024515,4360487
13405500,4312104
13404765,4302245
13003381,4353461
11578230,3566024
13405189,4308101
13406288,4309033
13401160,4293631
13396758,4287917
13403053,4285918
13402507,4285950
13401776,4290234
13404001,4286858
13393713,4285375
13403904,4302012
13401057,4291022
13415439,4395446
13398852,4286469
13400853,4309215
11578753,3567719
13395316,4285317
13401305,4288314
13400451,4286639
13395889,4285808
13403071,4286892
13419319,4293995
13409723,4328875
13401486,4287073
13399259,4290289
13355913,4314953
13400111,3517509
13407772,4297030
13401339,4293847
13400716,4287584
13403937,4283593
13383339,4272031
13393693,4285450
13400955,4284970
13403251,4300077
13041634,4151502
13398095,4322029
13400733,4286221
13257351,4377269
13398639,4287116
13359246,4323903
13398068,4288350
13405023,4285204
13446792,4527030
13403864,4283640
13404128,4292252
13408701,4286019
13399760,4290553
13355442,4316413
13387436,4272027
13309958,4194457
13400883,4285701
13404530,4284566
13412898,4289870
12104602,4052538
13401398,4289540
13403388,4294914
13400593,4286565
13407531,4285133
12297038,4121543
13401583,4287980
13399560,4289338
13400473,4291174
13406102,4284892
13395957,4287494
13401402,4285811
12970335,4833351
13401307,4285345
13404023,4291226
13404339,4285291
13402969,4284825
13405069,4291128
13405197,4285730
13403287,4294777
13393711,4285456
13022836,4367128
13405862,4284705
13402931,4287139
13413189,4318234
13392826,4283729
12965793,4840432
11578424,3570470
13404458,4287545
13400167,4285796
13401457,4287648
13399877,4287888
13403778,4285186
13403993,4287090
13140122,4175022
13403240,4285649
13372292,4288049
13404599,4286460
13393265,4284081
13402729,4313678
13406740,4301038
13410061,4291726
13403352,4294964
13401064,4284976
13400471,4285214
13404260,4289116
13399975,4287554
13398793,4286241
13175581,4150585
13400064,4288183
13266615,3947616
13398365,4288241
13400954,4284973
13400501,4284496
13413417,4290196
13295318,4275705
12303492,2257375
13403506,4299527
13397758,4289966
13398970,4287475
13400487,4285579
13401233,4285575
13396387,4286915
13402918,4287871
13401887,4286216
13373720,4265401
12844136,4680529
11576651,3588332
13403570,4292257
13401081,4285982
13404827,4312806
13402568,4290139
13930783,5852209
13397011,4286617
13406708,4297164
13412293,4294777
13402921,4300300
13397143,4291735
13398018,4288889
13397928,4288463
13392643,4283750
13416267,4301938
13399670,4286874
13395291,4290719
12734196,3542438
13399196,4290458
13385472,4271849
13399770,4287262
13406983,4285762
13402370,4295953
13060038,4607681
13396009,4285971
13417157,4291188
13398736,4286539
13406275,4308113
13410226,4293104
13397213,4286703
13399945,4287373
13405295,4311280
13407519,4301779
13400704,4290025
13400088,4294667
13406065,4284956
13405832,4285273
13401083,4289177
13400856,4286782
13403327,4292377
13413394,4290466
13402010,4319894
13401583,4287378
13401557,4302585
13407129,4293154
13398960,4286355
13399239,4291299
13392347,4321427
13394208,4285342
13410233,4289063
13397759,4283758
13403353,4294827
13410296,4291366
13412525,4293063
13399449,4291850
13407109,4299077
13403845,4287369
13401068,4291331
13399195,4290246
13409872,4298802
13406706,4284436
13396973,4285460
13402978,4286855
13398739,4285945
13407405,4291620
13404497,4284747
13396180,4286863
13399285,4290127
13400688,4287932
13402950,4299236
13396892,4291919
13263237,4369946
13399046,4287285
13400658,4285977
13397774,4286188
12644016,4533449
13401820,4292551
13405951,4290455
13404555,4286571
13222100,3737516
13077495,6346595
13400343,4286175
13400684,4286688
13401383,4286278
13403415,4289062
13387865,4321178
13401127,4287515
13399425,4291508
13406676,4329161
13412605,4318208
13401921,4285007
13936433,5821585
13395808,4287566
13414799,4298891
13398983,4291802
13385794,4272365
13399403,4286877
13290569,3790109
13406023,4284355
13399692,4291939
13405522,4295815
13402212,3499855
13402014,4301279
13406089,4290018
13396734,4286381
13406568,4285896
13399796,4289477
13402097,4284962
13034246,4364071
13263194,4371508
13198677,4476927
13396200,4283826
13393676,4285384
13024510,4365271
13404430,4290994
13404081,4283576
12756080,4559752
13404997,4293338
13403679,4301927
13393865,4285428
13405100,4292291
12957396,4812799
13398634,4286618
13400646,4290949
13406351,4306213
13399676,4294200
13408375,4297845
13397807,4283377
13398339,4296080
13405860,4284608
13032975,4369909
13023090,4369428
13410183,4288914
13403209,4309650
13399505,4286930
13400321,4286128
13400831,4286944
13402271,4284963
13402622,4285376
13232688,4241764
13401245,4285950
13406294,4306500
13401023,4286083
13148929,3705956
13404472,4301175
13404259,4291971
13398825,4291768
13407063,4285702
13397299,4286853
13364730,4311045
13398881,4290665
13600564,4471911
13401751,4290565
13401551,4287995
13400808,4284735
13402843,4289566
12755371,4560390
13401290,4285255
13037857,4372920
13399470,4287831
13401338,4286132
13392263,4284126
13397958,4292956
13403774,4286366
13400777,4286330
12991112,4763353
13403530,4284636
13403681,4285005
13399003,4288573
13401557,4287635
13406660,4295914
13412129,4292304
13080299,4366102
13403551,4310665
13399878,4286456
13306083,3766369
13402716,4288666
13404159,4291371
13398594,4287974
13410732,4294180
13400248,4284926
13401704,4321463
13379287,4271573
13397440,4309747
13173569,4152485
13404897,4285510
13405508,4297923
13398473,4289188
