a,b,c,d,count,e,lng1,lat1,lng2,lat2
510302,自流井区,510303,贡井区,2335,20180501,11656151.86,3390575.44,11644449.88,3394636.21
510302,自流井区,510304,大安区,4966,20180501,11656151.86,3390575.44,11675044.32,3406956.77
510302,自流井区,510311,沿滩区,4174,20180501,11656151.86,3390575.44,11672505.88,3385500.96
510302,自流井区,510321,荣县,385,20180501,11656151.86,3390575.44,11618809.7244273,3405358.90207505
510302,自流井区,510322,富顺县,738,20180501,11656151.86,3390575.44,11691147.316013,3374039.58235315
510303,贡井区,510302,自流井区,2508,20180501,11644449.88,3394636.21,11656151.86,3390575.44
510303,贡井区,510304,大安区,880,20180501,11644449.88,3394636.21,11675044.32,3406956.77
510303,贡井区,510311,沿滩区,589,20180501,11644449.88,3394636.21,11672505.88,3385500.96
510303,贡井区,510321,荣县,369,20180501,11644449.88,3394636.21,11618809.7244273,3405358.90207505
510303,贡井区,510322,富顺县,84,20180501,11644449.88,3394636.21,11691147.316013,3374039.58235315
510304,大安区,510302,自流井区,5105,20180501,11675044.32,3406956.77,11656151.86,3390575.44
510304,大安区,510303,贡井区,839,20180501,11675044.32,3406956.77,11644449.88,3394636.21
510304,大安区,510311,沿滩区,1416,20180501,11675044.32,3406956.77,11672505.88,3385500.96
510304,大安区,510321,荣县,144,20180501,11675044.32,3406956.77,11618809.7244273,3405358.90207505
510304,大安区,510322,富顺县,359,20180501,11675044.32,3406956.77,11691147.316013,3374039.58235315
510311,沿滩区,510302,自流井区,4375,20180501,11672505.88,3385500.96,11656151.86,3390575.44
510311,沿滩区,510303,贡井区,662,20180501,11672505.88,3385500.96,11644449.88,3394636.21
510311,沿滩区,510304,大安区,1398,20180501,11672505.88,3385500.96,11675044.32,3406956.77
510311,沿滩区,510321,荣县,122,20180501,11672505.88,3385500.96,11618809.7244273,3405358.90207505
510311,沿滩区,510322,富顺县,1009,20180501,11672505.88,3385500.96,11691147.316013,3374039.58235315
510321,荣县,510302,自流井区,505,20180501,11618809.7244273,3405358.90207505,11656151.86,3390575.44
510321,荣县,510303,贡井区,326,20180501,11618809.7244273,3405358.90207505,11644449.88,3394636.21
510321,荣县,510304,大安区,176,20180501,11618809.7244273,3405358.90207505,11675044.32,3406956.77
510321,荣县,510311,沿滩区,172,20180501,11618809.7244273,3405358.90207505,11672505.88,3385500.96
510321,荣县,510322,富顺县,60,20180501,11618809.7244273,3405358.90207505,11691147.316013,3374039.58235315
510322,富顺县,510302,自流井区,876,20180501,11691147.316013,3374039.58235315,11656151.86,3390575.44
510322,富顺县,510303,贡井区,97,20180501,11691147.316013,3374039.58235315,11644449.88,3394636.21
510322,富顺县,510304,大安区,379,20180501,11691147.316013,3374039.58235315,11675044.32,3406956.77
510322,富顺县,510311,沿滩区,1080,20180501,11691147.316013,3374039.58235315,11672505.88,3385500.96
510322,富顺县,510321,荣县,46,20180501,11691147.316013,3374039.58235315,11618809.7244273,3405358.90207505
